name,sex,length
ကတီငြိန်းစံ,1,4
ကဗြာရှင်းလဲ့မောင်,1,5
ကလြာ,1,2
ကလြာမိုးလှိုင်,1,4
ကေကေခိုင်,1,3
ကေခိုင်စိုး,1,3
ကေခိုင်ဇင်,1,3
ကေခိုင်ထွန်း,1,3
ကေခိုင်နှင်း,1,3
ကေခိုင်လင်းထွန်း,1,4
ကေခိုင်လင်းမြင့်,1,4
ကေခိုင်ဦး,1,3
ကေဇင်ဟန်,1,3
ကေသီ,1,2
ကေသီခိုင်,1,3
ကေသီစိုး,1,3
ကေသီထွန်း,1,3
ကေသီနွယ်,1,3
ကေသီလွင်,1,3
ကေသီလှိုင်,1,3
ကေသီဝင်း,1,3
ကေသီအောင်,1,3
ကေသီဦး,1,3
ကောင်းမြတ်သဥ္ဇာ,1,4
ကောင်းမြတ်သဥ္ဇာမြင့်,1,5
ကြော့ကေခိုင်,1,3
ကြော့ကြော့ခိုင်,1,3
ကြော့စိန်,1,2
ကြော့နန္ဒာလွင်,1,4
ကြီကြီ,1,2
ကြီကြီခင်,1,3
ကြီကြီခိုင်,1,3
ကြီကြီခြို,1,3
ကြီကြီငှေး,1,3
ကြီကြီစိန်,1,3
ကြီကြီစိုး,1,3
ကြီကြီဆန်း,1,3
ကြီကြီဆွေ,1,3
ကြီကြီညွန့်,1,3
ကြီကြီဌေး,1,3
ကြီကြီတင်,1,3
ကြီကြီထက်,1,3
ကြီကြီထွန်း,1,3
ကြီကြီထွေး,1,3
ကြီကြီနွယ်,1,3
ကြီကြီမာ,1,3
ကြီကြီမေ,1,3
ကြီကြီမော်,1,3
ကြီကြီမြ,1,3
ကြီကြီမြင့်,1,3
ကြီကြီရွှေ,1,3
ကြီကြီရှိန်း,1,3
ကြီကြီလွင်,1,3
ကြီကြီလှ,1,3
ကြီကြီလှိုင်,1,3
ကြီကြီဝင်း,1,3
ကြီကြီဝေ,1,3
ကြီကြီသင်း,1,3
ကြီကြီသန်း,1,3
ကြီကြီသိန်း,1,3
ကြီကြီဟန်,1,3
ကြီကြီအုံး,1,3
ကြီကြီအေး,1,3
ကြီကြီဦး,1,3
ကြီကြူ,1,2
ကြီစင်ဝင်းလှိုင်,1,4
ကြီစီ,1,2
ကြီစိန်,1,2
ကြီစွန်း,1,2
ကြီဆန်း,1,2
ကြီဆု,1,2
ကြီညွန့်,1,2
ကြီဌေး,1,2
ကြီတီ,1,2
ကြီထွေး,1,2
ကြီနု,1,2
ကြီနွယ်,1,2
ကြီပို,1,2
ကြီပူ,1,2
ကြီပြာ,1,2
ကြီပြုံး,1,2
ကြီဖြူခိုင်,1,3
ကြီဖြူရှင်းသန့်,1,4
ကြီဖြူသြှင်,1,3
ကြီမေ,1,2
ကြီမြ,1,2
