name,sex
ကတီငြိန်းစံ,1
ကေကေခိုင်,1
ကေခိုင်စိုး,1
ကေခိုင်ဇင်,1
ကေခိုင်ထွန်း,1
ကေခိုင်နှင်း,1
ကေခိုင်လင်းထွန်း,1
ကေခိုင်လင်းမြင့်,1
ကေခိုင်ဦး,1
ကေဇင်ဟန်,1
ကြော့ကေခိုင်,1
ကြော့ကြော့ခိုင်,1
ကြော့နန္ဒာလွင်,1
ကြီဖြူခိုင်,1
ကြီဖြူရှင်းသန့်,1
ကြီဖြူသြှင်,1
ကြီလဲ့လဲ့ဦး,1
ကြီသာမင်းမွန်,1
ကြိုင်ဝဿုန်ထက်,1
ကြေးမုံကြော့ဝင်း,1
ခင်ကြီမြင့်,1
ခင်ခြန်းမြေ့ထွန်း,1
ခင်ခြယ်စုစံ,1
ခင်ခြိုမြင့်,1
ခင်ခြိုလွင်,1
ခင်ခြိုဦး,1
ခင်ခြောခြောမေ,1
ခင်ငြိန်းခြန်း,1
ခင်ငြိန်းခြန်းကြော်,1
ခင်စိန်မြင့်,1
ခင်စိုးစိုး,1
ခင်စိုးထွက်,1
ခင်စိုးမြင့်,1
ခင်စိုးရီ,1
ခင်စိုးလွင်,1
ခင်စုမွန်,1
ခင်စောနွယ်,1
ခင်စောနှင်း,1
ခင်စောမူ,1
ခင်စောမြင့်,1
ခင်စောရီ,1
ခင်စောလွင်,1
ခင်စောလှ,1
ခင်စောဝေ,1
ခင်စောဦး,1
ခင်ဆန်း,1
ခင်ဆွေမြင့်,1
ခင်ဆွေယု,1
ခင်ဆွေရီ,1
ခင်ဆွေလှိုင်,1
ခင်ဆွေသိန်း,1
ခင်ဆွေအေး,1
ခင်ဆွေဦး,1
ခင်ဇာစိုး,1
ခင်ဇာလီထွန်း,1
ခင်ညွန့်ရီ,1
ခင်ညွန့်ဝေ,1
ခင်ဌေးကြီ,1
ခင်ဌေးနွယ်,1
ခင်ဌေးမော်,1
ခင်ဌေးမြင့်,1
ခင်ဌေးရီ,1
ခင်ဌေးလှိုင်,1
ခင်ဌေးဦး,1
ခင်တိုးမြင့်,1
ခင်ထွေးကြီ,1
ခင်ထွေးမြင့်,1
ခင်ထွေးရီ,1
ခင်ထွေးရဲ,1
ခင်ပိုးအိဇော်,1
ခင်မို့မို့,1
ခင်မို့မို့ဟန်,1
ခင်မိုးဆွေ,1
ခင်မိုးမိုး,1
ခင်မိုးမြင့်,1
ခင်မိုးလွင်,1
ခင်မိုးသူ,1
ခင်မိုးအေး,1
ခင်မြိုးကြီ,1
ခင်မြိုးခိုင်,1
ခင်မြိုးခြစ်,1
ခင်မြိုးဆွေ,1
ခင်မြိုးညွန့်,1
ခင်မြိုးနွယ်,1
ခင်မြိုးမြင့်,1
ခင်မြိုးမြတ်,1
ခင်မြိုးရီ,1
ခင်မြိုးလှ,1
ခင်မြိုးသူ,1
ခင်မြိုးအေး,1
ခင်မြင့်ကြီ,1
ခင်မြင့်ဆွေ,1
ခင်မြင့်ထွေး,1
ခင်မြင့်မေ,1
ခင်မြင့်မော်,1
ခင်မြင့်ရီ,1
ခင်မြင့်ဝေ,1
ခင်မြင့်အေး,1
ခင်မြင့်ဦး,1
ခင်မြစိန်,1
ခင်မြတ်ဆွေ,1
ခင်မြတ်နွယ်,1
ခင်မြတ်မူ,1
ခင်မြတ်မွန်,1
ခင်မြတ်သူ,1
ခင်မြမူ,1
ခင်မြမွန်,1
ခင်မြဝေ,1
ခင်မြသွေး,1
ခင်မြအေး,1
ခင်မြဦး,1
ခင်ရွှေဦး,1
ခင်လိမ္မာ,1
ခင်လှကြီ,1
ခင်လှစိန်,1
ခင်လှမူ,1
ခင်လှမြင့်,1
ခင်လှမြိုင်,1
ခင်လှရီ,1
ခင်လှဝေ,1
ခင်လှအေး,1
ခင်လှဦး,1
ခင်သိန်း,1
ခင်သိန်းမြင့်,1
ခင်သိန်းရီ,1
ခင်သိန်းအေး,1
ခင်သိန်းဦး,1
ခင်အုံးကြီ,1
ခင်အုံးမြင့်,1
ခင်အုံးရီ,1
ခင်အေးကြော်,1
ခင်အေးကြီ,1
ခင်အေးကြူ,1
ခင်အေးခြို,1
ခင်အေးဆွေ,1
ခင်အေးနွယ်,1
ခင်အေးမူ,1
ခင်အေးမော်,1
ခင်အေးမြင့်,1
ခင်အေးရီ,1
ခင်အေးလွင်,1
ခင်အေးသာ,1
ခင်အေးသီ,1
ခင်ဦးမေ,1
ခိုင်ခြောစုဟန်,1
ခိုင်ငြိန်းဝေ,1
ခိုင်စုမြင့်မွန်,1
ခိုင်စုမွန်,1
ခိုင်ဇင်ဆွေ,1
ခိုင်ဇင်ဖြိုး,1
ခိုင်ဇင်ဝေ,1
ခိုင်ဇင်သူ,1
ခိုင်ဇင်သော်,1
ခိုင်ဇာမော်မော်,1
ခိုင်ဇာဝင့်,1
ခိုင်မီမီဇော်,1
ခိုင်မီမီဖြိုး,1
ခိုင်ဝင့်ဝာသော်,1
ခိုင်ဝေလွင်,1
ခိုင်သင်ဇာ,1
ခိုင်သင်ဇာစိုး,1
ခြစ်ခွန်းခြို,1
ခြစ်စုရီ,1
ခြစ်စုဝင်း,1
ခြစ်စုသွယ်,1
ခြစ်စုသွေး,1
ခြစ်ဆုရီ,1
ခြစ်ဖြိုးဖြိုးဝေ,1
ခြစ်သက်ဝေ,1
ခြန်းမြေကြီ,1
ခြန်းမြေ့ကြီသာ,1
ခြန်းမြေ့ခိုင်,1
ခြိုနွယ်ဦး,1
ခြိုမီဟန်,1
ခြိုယဉ်လဲ့,1
ခြိုလေးမာ,1
ခြူးသက်နွယ်,1
ခြူးဟေဇယ်ယွန်း,1
ခြူးအိန်စံ,1
ခြောခြောထားနွယ်,1
ခြောငယ်ငယ်ဟိန်း,1
ခြောစုခင်,1
ခြောစုငယ်,1
ခြောစုလွင်,1
ခြောစုဝေ,1
ခြောထင်ကြော်စံ,1
ခြောမို့မို့ခန့်,1
ခြောအိအိထူး,1
ခြူးရနံ့,1
ခွန်းရွှေဆက်နွေး,1
ဂြူးသက်ခြယ်,1
ငြိန်းမို့မို့လွင်,1
ငြိန်းအိန္ဒြာပို,1
ငွေနှင်းမြူ,1
စန်းအိဖြူ,1
စိမ့်ဝင်းရီ,1
စိုးစိုးခိုင်,1
စိုးစိုးနွယ်,1
စိုးစိုးမာ,1
စိုးစိုးမူ,1
စိုးစိုးမေ,1
စိုးစိုးရီ,1
စိုးစိုးအေး,1
စိုးမြတ်နန္ဒာ,1
စုမြတ်ထက်,1
စုမြတ်နန္ဒာအောင်,1
စုမြတ်ဖြူ,1
စုရီမောင်,1
စုရီအောင်,1
စုအိန္ဒြေလှိုင်,1
စောကေသီ,1
စောနှင်းဝေ,1
စောယုမွန်,1
စောလှနွယ်,1
စောသြှင်မေ,1
စံပယ်ညို,1
စံပယ်မွှေး,1
ဆန်းမြင့်ကြီ,1
ဆန်းယုမေ,1
ဆန်းယုမော်,1
ဆုပိုပို,1
ဆုမြင့်မြတ်အောင်,1
ဆုမြတ်ခိုင်,1
ဆုမြတ်မိုး,1
ဆုမြတ်မွန်,1
ဆုမြတ်ဝတီ,1
