name,sex
ကြေးမုံသွင်,1
ခင်စိုးထွက်,1
ခင်မြိုးဦး,1
ခင်လင်းဦး,1
ခိုင်ယုအောင်,1
ခြစ်ခွန်းခြို,1
ခြစ်ဇွဲသာ,1
ခြစ်ဝဿုန်ကြော်,1
ခြစ်သုဝေ,1
ခြော်,1
ခွန်းခြိုသာ,1
စီ,1
စိုးစိုးငြိန်း,1
စိုးစိုးညွန့်,1
စိုးစိုးထွန်း,1
စိုးစိုးမြင့်,1
စိုးစိုးလွင်,1
စိုးစိုးလှိုင်,1
စိုးစိုးဝင်း,1
စိုးစိုးသန်း,1
စိုးစိုးအောင်,1
စိုးစိုးဦး,1
စောကြီ,1
စောတင်,1
ဆုပိုပိုမောင်,1
ဆူးရနံ့,1
တင်မမ,1
တူးတူးလွင်,1
ထူးထူးဝေ,1
ထူးထူးအောင်,1
ဒာလီကြော်,1
နိုင်နိုင်မော်,1
နိုင်နိုင်ဝင်း,1
နု,1
နော်ထီးလားဖော,1
နွယ်,1
နွေးနွေးအောင်,1
ပိုးပိုးအောင်,1
ပုံ့ပုံ့ဟန်,1
ပြည့်ဖူးမောင်,1
ပွင်းမှူးသာ,1
မင်းမင်းခိုင်,1
မင်းမင်းသန်း,1
မင်းမင်းအေး,1
မူ,1
မော်မော်အောင်,1
ရဲ,1
ရှင်းသန့်အောင်,1
လင်းလင်းထွန်း,1
လုလုအောင်,1
လူလူအောင်,1
ဝင့်သူကြော်,1
ဝင်းမင်းသန်း,1
ဝင်းမော်ထွန်း,1
ဝာ,1
သီ,1
သော်သော်အောင်,1
သဲဆုအောင်,1
ဟန်ဇင်စိုး,1
ဟန်သီထွန်း,1
ဟေသာမောင်,1
အိမြတ်မောင်,1
အေးငြိန်းဇော်,1
အေးမင်းမင်းကို,1
အေးမြတ်ကိုကို,1
အေးမြတ်အောင်,1
ဦး,1
ကောင်းဇာနီ,0
ကြီမြိုးလွင်,0
ခင်စိုးမင်း,0
ခင်ဆန်း,0
ခင်ဆွေ,0
ခင်ညို,0
ခင်ညွန့်,0
ခင်ထွေး,0
ခင်လှ,0
ခင်သိန်း,0
စဖြိုးသူထက်,0
စိုင်းနန္တာ,0
စောကြီဖြူ,0
စောမိုးမြင့်,0
စောလှဖြူ,0
ဆန်းယု,0
ဇာနီ,0
ဇာနီထွန်း,0
ဇာနီအောင်,0
ဇော်သီက,0
တင်နွယ်,0
တင်မိုးလွင်,0
ထက်မြတ်လင်း,0
ထူးအယ်လင်း,0
နီနီ,0
ဖြိုးသူထက်,0
မာ,0
မိုးထက်ပူပြင်း,0
မိုးထက်မြင့်,0
မော်မော်,0
မြတ်ခြိုဝင်း,0
မြသန်း,0
ရန်ခြန်းဝင်း,0
လင်းဆက်ပိုင်,0
လှဝင်းဌေး,0
ဝင်းမြင့်သန်း,0
ဝင်းမြင့်သိန်း,0
ဝင်းသီ,0
ဝသန်ထင်လင်း,0
သန်းဆုနိုင်,0
အောင်မြင့်မြတ်,0
အေးခြန်း,0
အေးငြိန်း,0
အေးမင်းခြို,0
အေးမင်းစိုး,0
အေးမြင့်,0
အေးအေး,0
