name,sex
ကေခိုင်ဇင်,1
ကေခိုင်ထွန်း,1
ကေခိုင်နှင်း,1
ကေခိုင်ဦး,1
ကေဇင်ဟန်,1
ကြယ်စင်ဝင်း,1
ကြယ်စင်ဝင်းလှိုင်,1
ကြိုင်ဝဿုန်ထက်,1
ခင်ခြန်းမြေ့ထွန်း,1
ခင်ခြိုခန့်,1
ခင်ခြိုလွင်,1
ခင်ခြိုဦး,1
ခင်ငြိန်းခန့်,1
ခင်ငြိန်းခြန်း,1
ခင်ငြိန်းခြန်းကြော်,1
ခင်စိန်မြင့်,1
ခင်စိန်ဝင်း,1
ခင်စိုးစိုး,1
ခင်စိုးထွက်,1
ခင်စိုးမြင့်,1
ခင်စိုးလွင်,1
ခင်စိုးဝင်း,1
ခင်စောနွယ်,1
ခင်စောနှင်း,1
ခင်စောမြင့်,1
ခင်စောလွင်,1
ခင်စောလှ,1
ခင်စောဝင်း,1
ခင်စောဝေ,1
ခင်စောဦး,1
ခင်ဆန်း,1
ခင်ဆန်းကြီ,1
ခင်ဆန်းကြူ,1
ခင်ဆန်းညွန့်,1
ခင်ဆန်းဌေး,1
ခင်ဆန်းတင်,1
ခင်ဆန်းတင့်,1
ခင်ဆန်းထွေး,1
ခင်ဆန်းနွယ်,1
ခင်ဆန်းမော်,1
ခင်ဆန်းမြင့်,1
ခင်ဆန်းယု,1
ခင်ဆန်းရင်,1
ခင်ဆန်းရဲ,1
ခင်ဆန်းရွှေ,1
ခင်ဆန်းလင်း,1
ခင်ဆန်းလွင်,1
ခင်ဆန်းလှိုင်,1
ခင်ဆန်းဝင်း,1
ခင်ဆန်းဝေ,1
ခင်ဆန်းအေး,1
ခင်ဆန်းဦး,1
ခင်ဆွေလှိုင်,1
ခင်ဆွေသိန်း,1
ခင်ဆွေဦး,1
ခင်ညွန့်ဝေ,1
ခင်ဌေးနွယ်,1
ခင်ဌေးလှိုင်,1
ခင်ဌေးဦး,1
ခင်ထွေးရဲ,1
ခင်မို့မို့ဟန်,1
ခင်မိုးလွင်,1
ခင်မြိုးကြီ,1
ခင်မြိုးခိုင်,1
ခင်မြိုးခြစ်,1
ခင်မြိုးဆွေ,1
ခင်မြိုးညွန့်,1
ခင်မြိုးတင့်,1
ခင်မြိုးတင့်,1
ခင်မြိုးနွယ်,1
ခင်မြိုးမြင့်,1
ခင်မြိုးမြတ်,1
ခင်မြိုးလှ,1
ခင်မြိုးဝင်း,1
ခင်မြိုးသူ,1
ခင်မြိုးအေး,1
ခင်မြင့်ဦး,1
ခင်မြစိန်,1
ခင်မြတ်နွယ်,1
ခင်မြတ်မွန်,1
ခင်မြမွန်,1
ခင်မြဦး,1
ခင်ရွှေဝင်း,1
ခင်ရွှေဦး,1
