name,sex
ကေခိုင်ဇင်,1
ကေခိုင်ထွန်း,1
ကေခိုင်နှင်း,1
ကေခိုင်ဦး,1
ကေဇင်ဟန်,1
ကြော့ကြော့ခိုင်,1
ကြိုင်ဝဿုန်ထက်,1
ကြေးမုံသွင်,1
ခင်ခြန်းမြေ့ထွန်း,1
ခင်ငြိန်းခန့်,1
ခင်ငြိန်းခြန်း,1
ခင်ငြိန်းခြန်းကြော်,1
ခင်စိုးစိုး,1
ခင်စိုးထွက်,1
ခင်စိုးလွင်,1
ခင်စောနွယ်,1
ခင်စောနှင်း,1
ခင်စောလွင်,1
ခင်စောလှ,1
ခင်စောဝင်း,1
ခင်စောဦး,1
ခင်ဆန်း,1
ခင်ဆန်းညွန့်,1
ခင်ဆန်းဌေး,1
ခင်ဆန်းထွေး,1
ခင်ဆန်းနွယ်,1
ခင်ဆန်းမြင့်,1
ခင်ဆန်းရင်,1
ခင်ဆန်းရဲ,1
ခင်ဆန်းရွှေ,1
ခင်ဆန်းလင်း,1
ခင်ဆန်းလွင်,1
ခင်ဆန်းလှိုင်,1
ခင်ဆန်းဝင်း,1
ခင်ဆန်းဦး,1
ခင်ဆွေလှိုင်,1
ခင်ဆွေသိန်း,1
ခင်ဆွေဦး,1
ခင်ဌေးနွယ်,1
ခင်ဌေးလှိုင်,1
ခင်ဌေးဦး,1
ခင်မိုးလွင်,1
ခင်မြိုးခိုင်,1
ခင်မြိုးခြစ်,1
ခင်မြိုးဆွေ,1
ခင်မြိုးညွန့်,1
ခင်မြိုးနွယ်,1
ခင်မြိုးမြင့်,1
ခင်မြိုးမြတ်,1
ခင်မြိုးလှ,1
ခင်မြိုးဝင်း,1
ခင်မြိုးသူ,1
ခင်မြိုးဦး,1
ခင်မြင့်ဦး,1
ခင်မြတ်နွယ်,1
ခင်မြဦး,1
ခင်ရွှေဦး,1
ခင်လင်းဦး,1
ခင်လပြည့်ထွန်း,1
ခင်လှမြိုင်,1
ခင်လှဦး,1
ခင်ဝင်းနွယ်,1
ခင်သိန်း,1
ခင်သိန်းမြင့်,1
ခင်သိန်းဝင်း,1
ခင်သိန်းဦး,1
ခင်အေးကြော်,1
ခိုင်ငြိန်းဝေ,1
ခိုင်ဇင်ဆွေ,1
ခိုင်ဇင်ဖြိုး,1
ခိုင်ဇင်ဝေ,1
ခိုင်ဇင်သူ,1
ခိုင်ဇင်သော်,1
ခိုင်ယုအောင်,1
ခိုင်ဝေလွင်,1
ခြစ်ခွန်းခြို,1
ခြစ်ဇွဲသာ,1
ခြစ်ဝဿုန်ကြော်,1
ခြစ်သုဝေ,1
ခြန်းမြေကြီ,1
ခြန်းမြေ့ကြီသာ,1
ခြန်းမြေ့ခိုင်,1
ခြိုနွယ်ဦး,1
