english,myanmar
@,(ခ)
A,အေ
AAIB,အေအေအိုင်ဘီ
AAJALARSEN,အာဂျာလားဆန်း
AALIYAH,အေးလီယက်
AAMIR,အာမီရာ
AARON,အေရွန်
AARONSOHN,အေရွန်ဆွန်း
ABAN,အဘန်း
ABDUL,အဒူ
Abhinav,အဘီနပ်
AEIN,အိမ်
AEINDA,အိန္ဒြာ
AG,အောင်
AGGA,အဂ္ဂ
AGGAR,အဂ္ဂါ
AH,အ
AI,အား
AINDRA,အိန္ဒြာ
AIR,အဲ
AKARI,ဧကရီ
ALEX,အဲလက်စ်
ALEXANDER,အဲလက်စ်ဇန်ဒါး
ALLEN,အဲလလန်
AMARA,အမရာ
AMI,အေမီ
AMY,အေမီ
ANANDA,အနန္တ
ANDERSON,အန်ဒါဆင်
ANDREW,အင်ဒရူ
ANGEL,အိန်ဂျယ်
ANN,အမ်း
ANT,အန့်
ANTT,အန့်
APRIL,ဧပရယ်
AR,အာ
ARKA,အာကာ
ARKAR,အာကာ
ASHIN,အရှင်
ASHMORE,အက်ရှမော
ASTHER,အက်စတာ
AU,ဥ
AUN,အောင်
AUNG,အောင်
AWE,AWE
AWNG,အောင်
AYE,အေး
AZIZ,အဇစ်
BA,ဘ
BABY,ဘေဘီ
BAHON,ဗဟုန်း
BAIK,ဗိုက်
BAIKE,ဗိုက်
BAIN,ဘိမ်
BALA,ဗလ
BAN,ဗန်
BANYA,ဗညား
BANYAR,ဗညား
BARANI,ဘရဏီ
BAUER,ဘားဝါ
BAW,ဘော
BAWK,ဘောက်
BAYAN,ဗရမ်း
BE,ဘီး
BELL,ဘဲလ်
Betrabet,ဘတ်ထရီးဘက်ထ်
BHONE,ဘုန်း
Bhuvanesh,ဘူဘာနက်ချ်
BI,ဘိုင်
BIN,ဗင်
BINNYA,ဗညား
BO,ဘို
BOTE,ဘုတ်
BRANG,ဘရန်
BROOKS,ဘရွတ်စ်
BROWN,ဘရောင်း
BRUCE,ဘရုစ်
BRUN,ဘရမ်း
BU,ဘူ
BUDDHA,ဗုဒ္ဓ
BURNS,ဘန်း
BUU,ဘူး
BWA,ဘွား
BWAR,ဘွား
BWE,ဘွဲ
BWET,ဘွဲ့
BY,ဘိုင်
BYAM,ဗျန်
BYAR,ဗျာ
CAFE,ကဖီး
CARD,ကတ်
CARTER,ကာတာ
CENTER,စင်တာ
CENTRE,စင်တာ
CHAIN,ချိန်
CHAINT,ချိမ့်
CHAL,ချယ်
CHAN,ချမ်း
CHANN,ချမ်း
CHANNEL,ချန်နယ်
CHAW,ချော
CHAY,ချေ
CHEIN,ချိန်
CHEINT,ချိမ့်
CHEL,ချယ်
CHERRY,ချယ်ရီ
CHI,ခြည်
CHICK,ချစ်
CHIN,ချင်း
CHIT,ချစ်
CHO,ချို
CHOO,ခြူး
CHOR,ချော
CHU,ခြူး
CHUE,ခြူး
CHUU,ခြူး
CIN,ကျင်
CINDY,စင်ဒီ
CING,ကျိန်
COHEN,ကိုးဟန်
CONG,ကျဲ
CONNY,ကော်နီ
COX,ကော့
CRONIN,ခရိုနင်
CRUZ,ကရုဇ်
CUZA,ကူဇာ
CYNTHIA,စင်သီယာ
D,ဒီ
DA,ဒ
DAE,ဒေ
DAEWI,ဒေဝီ
DAGON,ဒဂုန်
DAGU,တန်ခူး
DAH,ဒါရ်
DAISY,ဒေစီ
DANA,ဓန
DANIEL,ဒယ်နရယ်
DAR,ဒါ
DARLI,ဒါလီ
DATE,ဒိတ်
DAVID,ဒေးဗစ်
DAVIS,ဒေးဗစ်
DAW,ဒေါ်
DAW.,ဒေါ်
DAYAL,ဒေးရယ်
DECEMBER,ဒီဇင်ဘာ
DEEP,ဒိ့
DEKEN,ဒီကန်
DELHI,ဒါလီ
Deogharkar,ဒီဟတ်ကာ
DHA,ဓ
DHAMMA,ဓမ္မ
DI,ဒီ
DIAZ,ဒီးယက်ဇ်
Dilaram,ဒီလာရမ်
DIM,ဒင်
DIN,ဒင်
DINE,ဒိုင်း
DISMUKE,ဒီစမူကီ
DO,ဒို
DOE,ဒိုး
DOI,ဒွယ်
DON,ဒွန်
DOORNEKAMP,ဒိုးနီကမ့်
DORAN,ဒိုရန်
DORATHY,ဒိုရသီ
DR.,ဒေါက်တာ
DRA,ဒြာ
DRAY,န္ဒြေ
DU,ဒု
DURI,ဒူရီ
DUWA,ဒူးဝါး
DWAY,ဒွေး
DWE,ဒွေး
E,အေး
EAI,အိမ်
EAIN,အိမ်
EAINDRA,အိန္ဒြာ
EAINDRAY,ဣန္ဒြေ
EAINT,အိမ့်
EANT,အံ့
EH,အယ်
EI,အိ
EIPHYU,အိဖြူ
EIZALE,အဉ္ဇလီ
EIZALI,အဉ္ဇလီ
ELIZABETH,အယ်လိဇဘက်
EMERALD,အမ်မရာ
EN,အင်
ENG,အန်
ESTHER,အက်စတာ
FLORA,ဖလော်ရာ
FRANKIE,ဖရန်ကီ
FRANKY,ဖရန်ကီ
FULLER,ဖောလာ
GA,ဂ
GADAE,ကုဋေ
GALON,ဂဠုန်
GAM,ဂမ်
GANT,ကံ့
GAR,ဂါ
GARCIA,ဂါစီရာ
GATE,ဂိတ်
GAUNG,ဂေါင်း
GAW,ကော်
GE,ဂီ
GEKOSKI,ဂက်ကိုစကီး
GEORGE,ဂျော့ချ်
GI,ဂီ
GIANNINI,ဂျီအန်နီနီ
GIN,ဂျင်း
Golwala,ဂေါဝါလာ
GON,ဂုဏ်
GONYE,ဂုဏ်ရည်
GONYEE,ဂုဏ်ရည်
GONYI,ဂုဏ်ရည်
GORDON,ဂေါ်ဒွန်
GRACE,ဂရေ့စ်
GRAHAM,ဂရေဟမ်
GRAND,ဂရန်း
GRAVES,ဂရာဗက်စ်
GRAY,ဂရေး
GREEN,ဂရင်း
GU,ဂူး
GUM,ဂွန်
GUN,ဂွန်း
GUYTON,ဂိုင်းတန်
GYAW,ဂျော်
GYI,ကြီး
GYIN,ကြင်း
HA,ဟ
HAE,ဟဲ
HAK,ဟက်
HAKK,ဟက်
HALL,ဟောလ်
HAM,ဟမ်
HAMMONS,ဟမ်းမွန်
HAN,ဟန်
HANN,ဟန်
HANNI,ဟန်နီ
HAR,ဟာ
HARI,ဟယ်ရီ
HARPER,ဟာပါ
HARRI,ဟယ်ရီ
HARRIS,ဟားရစ်
HARRISON,ဟားရစ်ဆင်
HARRY,ဟယ်ရီ
HAY,ဟေ
HAYMA,ဟေမာ
HAYMAN,ဟေမာန်
HAYMANN,ဟေမာန်
HAYMAR,ဟေမာ
HAZEL,ဟေဇယ်
HE,ဟဲ
HEIN,ဟိန်း
HEINN,ဟိန်း
HERI,ဟယ်ရီ
HERRI,ဟယ်ရီ
HERRY,ဟယ်ရီ
HEYMAN,ဟေမာန်
HEYMANN,ဟေမာန်
HIGHEST,ဟိုင်းရက်(စ်)
HILDALONE,ဟေးဒါလုံး
HILL,ဟေးလ်
HIMAR,ဟေမာ
HKA,ခါး
HKAUNG,ခေါင်
HKUN,ခွန်
HLA,လှ
HLAINE,လှိုင်း
HLAING,လှိုင်
HLAWN,လွှမ်း
HMAN,မှန်
HMAT,မှတ်
HMINE,မှိုင်း
HMONE,မှုန်
HMU,မှူး
HMUE,မှူး
HMUU,မှူး
HMWE,မွှေး
HMWE,မွှေး
HNAUNG,နှောင်း
HNGET,ငှက်
HNIN,နှင်း
HNINSI,နှင်းဆီ
HONEY,ဟန်နီ
HPA,ဖ
HPONE,ဖုန်း
HSA,ဆ
HSAN,ဆန်း
HSANG,ဆန်း
HSAT,ဆက်
HSAUNG,ဆောင်း
HSEE,ဆည်း
HSET,ဆက်
HSINT,ဆင့်
HSO,ဆို
HSOE,စိုး
HSOUNG,ဆောင်း
HSU,ဆု
HTA,ထ
HTAE,ထယ်
HTAIK,ထိုက်
HTAKE,ထိပ်
HTAN,ထန်
HTAR,ထား
HTATE,ထိပ်
HTAUN,ထောင်း
HTAW,ထော
HTAY,ဌေး
HTE,ထည်
HTEE,ထီး
HTEIK,ထိပ်
HTEIN,ထိန်
HTET,ထက်
HTHAT,ထက်
HTIKE,ထိုက်
HTIN,ထင်
HTING,ထိန်
HTOI,ထွယ်
HTOO,ထူး
HTOON,ထွန်း
HTU,ထု
HTUN,ထွန်း
HTUNN,ထွန်း
HTUT,ထွဋ်
HTWA,ထွာ
HTWAR,ထွား
HTWAY,ထွေး
HTWE,ထွေး
HUGHES,ဟူစ်
HUNT,ဟန့်
IAN,အီအန်
II,တူး
IN,အင်
INDE,အင်ဒီ
INGYIN,အင်ကြင်း
INZALE,အဉ္ဇလီ
INZALI,အဉ္ဇလီ
ISSAC,အေဇက်
IZAC,အိုင်ဇက်
J,ဂျေ
JA,ဂျာ
JACK,ဂျက်
JACKSON,ဂျက်ဆင်
JACQUELINE,ဂျက်ကလင်း
JAMES,ဂျိမ်း
JAR,ဂျာ
JAT,ဂျတ်
JAW,ဂျော်
Jayeshkumar,ဂျေးယက်ချ်ကူးမား
JESSICA,ဂျက်စီကာ
JOE,ဂျိုး
JOHN,ဂျွန်
JOHNNY,ဂျော်နီ
JOHNSON,ဂျွန်ဆင်
JOHNY,ဂျွန်နီ
JONES,ဂျုံးစ်
JONG,ဂျန်
JOSHUA,ဂျော့ရှူးဝါး
JOTIPALA,ယောသီပါလ
JU,ဂျူး
JUDSON,ဂျက်ဆင်
JULIA,ဂျူလီယာ
JULIE,ဂျူလီယာ
JULY,ဂျူလိုင်
JUNIOR,ဂျူနီယာ
JURINA,ဂျူးရီးနာ
JUSTIN,ဂျက်စတင်း
JUU,ဂျူး
K,ကေ
KA,က
KAHLAYA,ကလျာ
KAHLAYAR,ကလျာ
KAIN,ခင်
KALAM,ခလမ်
KALAYA,ကလျာ
KALAYAR,ကလျာ
KALU,ကလု
KALYAR,ကလျာ
KAN,ကန်
KANT,ကန့်
KAP,ကပ်
KAR,ကာ
KATHRINE,ကတ်သရင်း
KATHY,ကေသီ
KAUNG,ကောင်း
KAW,ကော
KAWT,ကော့
KAY,ကေ
KAYTHI,ကေသီ
KE,ကီ
KELLER,ကဲလ်လာ
KHA,ခ
KHAE,ခဲ
KHAI,ခိုင်
KHAINE,ခိုင်
KHAING,ခိုင်
KHAL,ခဲ
KHALAY,ခလေး
KHAM,ခမ်း
KHAN,ခန်း
KHAN,ခမ်
KHANK,ခန့်
KHANT,ခန့်
KHAT,ခတ်
KHATTAR,ခတ္တာ
KHAUN,ခေါင်
KHAUNG,ခေါင်
KHAWN,ခွမ်
KHAY,ခေး
KHE,ခဲ
KHEL,ခဲ
KHET,ခက်
KHIN,ခင်
KHINE,ခိုင်
KHING,ခိုင်
KHIT,ခေတ်
KHON,ခွန်
KHU,ခူး
KHUN,ခွန်
KHUT,ခွတ်
KHUTT,ခွတ်
KHWAR,ခွား
KHWE,ခွေး
KI,ကီ
KIE,ကီး
KIM,ကိမ်
KINT,ခင့်
KISSES,ကစ်စ်
KO,ကို
KO.,ကို
KRICKSTEIN,ခရစ်စတိုင်း
Krunal,ခရုနေး
KU,ကု
KUK,ကောက်
KUMAR,ကူးမား
KUN,ကွန်း
KWAT,ကွက်
KYAE,ကြဲ
KYAING,ကြိုင်
KYAL,ကြယ်
KYAN,ကျန်
KYAR,ကြာ
KYAW,ကျော်
KYAWE,ကြွယ်
KYAWT,ကျော့
KYAY,ကျေး
KYEIN,ကြိမ်
KYEL,ကြယ်
KYI,ကြည်
KYIN,ကြင်
KYINN,ကျင်း
KYINT,ကြင့်
KYITHA,ကြည်သာ
KYITHAR,ကြည်သာ
KYO,ကြိုး
KYU,ကြူ
KYUU,ကြူ
KYWAIL,ကြွယ်
KYWE,ကြွယ်
L,အယ်လ်
LA,လ
LABYA,လဗျ
LAE,လဲ့
LAE`,လဲ့
LAH,လား
LAI,လှိုင်
LAMIN,လမင်း
LAMINN,လမင်း
LANT,လန့်
LAR,လာ
LAT,လတ်
LATE,လိတ်
LATT,လတ်
LAUNG,လောင်း
LAWRENCE,လောရင့်
LAY,လေး
LAYY,လေး
LE,လဲ့
LEEUWEN,လီဝန်
LEI,လဲ့
LEO,လီယို
LEONARD,လီရိုနက်
LET,လက်
LETT,လတ်
LI,လီ
LIAN,လျန်
LIBERTY,လေဘာတီ
LIM,လင်း
LIMM,လင်း
LIN,လင်း
LINN,လင်း
LINNITH,လင်းနစ်
LINYNN,လင်း(န်)
LITE,လိုက်
LOA,LOA
LON,လွန်း
LONE,လုံး
LOON,လွန်း
LOUNG,လောင်း
LU,လူ
LUAN,လွန်း
LUCAS,လူးကပ်စ်
LUM,လွန်း
LUN,လွန်း
LUNN,လွန်း
LWAN,လွမ်း
LWANN,လွမ်း
LWIN,လွင်
LYNN,လင်း
M,အမ်
MA,မ
MA.,မ
MABEL,မေဘယ်လ်
MABLE,မေဘယ်
MAE,မေ့
MAGNOLIA,မက်နိုးလီယာ
MAI,မိုင်
MAIN,မိန်
MAING,မိုင်
MAJOR,မေဂျာ
MAL,မယ်
MALA,မာလာ
MALAR,မာလာ
MAN,မန်
MANDALAR,မန္တလာ
MANG,မောင်
MANN,မာန်
Manoj,မနော့ဂျ်
MAR,မာ
MARAN,မရန်
MARIP,မရစ်
MARLAR,မာလာ
MARN,မာန်
MARR,မာ
MARRY,မယ်ရီ
MARTIN,မာတင်
MARY,မေရီ
MAT,မက်
MATHEE,မသီး
MAUNG,မောင်
MAW,မော်
MAWN,မွမ်း
MAY,မေ
MCGHEE,မက်ဂီး
MCKIE,မက်ကီး
ME,မီ
MEE,မီး
MEIN,မိန်
MEL,မယ်
MELODY,မယ်လိုဒီ
MEYER,မိုင်ရာ
MG,မောင်
MHAN,မာန်
MHU,မှူး
MHUU,မှူး
MHWE,မွှေး
MI,မိ
MICHAEL,မိုက်ကယ်
MICHEL,မိုက်ကယ်
MICHELLE,မီရှဲလ်
MIE,မီ
MILANI,မင်လာနီ
MILES,မိုင်း
MILLER,မိုင်လာ
MIN,မင်း
Ming,မင်
